MAH organisation name,Product Authorisation country
GlaxoSmithKline Dungarvan Ltd,European Union
GlaxoSmithKline Dungarvan Ltd,European Union
GlaxoSmithKline Dungarvan Ltd,European Union
GlaxoSmithKline Dungarvan Ltd,European Union
GlaxoSmithKline Dungarvan Ltd,European Union
GRUENENTHAL GMBH,Denmark
GRUENENTHAL GMBH,Norway
GRUENENTHAL OESTERREICH GMBH,Austria
TEVA B.V.,Estonia
SANDOZ PHARMACEUTICALS D.D.,Latvia
GP GENERICOS PORTUGUESES LDA.,Portugal
TEVA PHARMA S.L.U.,Spain
SUN PHARMA UK LIMITED,United Kingdom (Northern Ireland)
VIATRIS PHARMACEUTICALS S.L.,Spain
LABORATOIRES ALTER,France
GRUENENTHAL GMBH,Lithuania
GRUENENTHAL GMBH,Lithuania
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
KRKA TOVARNA ZDRAVIL D.D. NOVO MESTO,Slovenia
